VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,PurchasePrice,ActualPrice,Volume,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
9165,ULTRA BEVERAGE COMPANY LLP,18624,Donnafugata Mille una Notte,2.0,100.68,50.34,72.99,750,5.0,364.95,72.99,0.56,68054.7,264.27,72.41266,2.5,3.62485
9165,ULTRA BEVERAGE COMPANY LLP,18624,Donnafugata Mille una Notte,2.0,100.68,50.34,72.99,750,2.0,145.98,72.99,0.22,68054.7,45.3,31.03165,1.0,1.44994
9165,ULTRA BEVERAGE COMPANY LLP,22447,Pizzolato Pnt Grigio,2096.0,9893.12,4.72,12.99,750,1954.0,13658.46,5018.82,218.48,68054.7,3765.34,27.56782,0.93225,1.3806
9552,M S WALKER INC,13688,Murphy-Goode Pnt Nr,84.0,351.96,4.19,12.99,750,24.0,359.76,29.98,2.7,55551.82,7.8,2.16811,0.28571,1.02216
9552,M S WALKER INC,13688,Murphy-Goode Pnt Nr,84.0,351.96,4.19,12.99,750,24.0,359.76,29.98,2.7,55551.82,7.8,2.16811,0.28571,1.02216
10754,PERFECTA WINES,19443,Cave de Tain St Joseph Red,21.0,300.93,14.33,29.99,750,15.0,322.35,128.94,1.67,28720.52,21.42,6.64495,0.71429,1.07118
10754,PERFECTA WINES,19443,Cave de Tain St Joseph Red,21.0,300.93,14.33,29.99,750,31.0,666.19,150.43,3.48,28720.52,365.26,54.8282,1.47619,2.21377
10754,PERFECTA WINES,19443,Cave de Tain St Joseph Red,21.0,300.93,14.33,29.99,750,16.0,343.84,236.39,1.77,28720.52,42.91,12.47964,0.7619,1.14259
10754,PERFECTA WINES,19443,Cave de Tain St Joseph Red,21.0,300.93,14.33,29.99,750,15.0,322.35,64.47,1.69,28720.52,21.42,6.64495,0.71429,1.07118
10754,PERFECTA WINES,19443,Cave de Tain St Joseph Red,21.0,300.93,14.33,29.99,750,41.0,881.09,279.37,4.59,28720.52,580.16,65.84571,1.95238,2.92789
10754,PERFECTA WINES,23777,Ch Smith Haut Lafitte 12 Whi,9.0,784.44,87.16,128.99,750,10.0,1289.9,644.95,1.12,28720.52,505.46,39.18598,1.11111,1.64436
10754,PERFECTA WINES,23777,Ch Smith Haut Lafitte 12 Whi,9.0,784.44,87.16,128.99,750,13.0,1676.87,257.98,1.46,28720.52,892.43,53.21999,1.44444,2.13767
10754,PERFECTA WINES,23777,Ch Smith Haut Lafitte 12 Whi,9.0,784.44,87.16,128.99,750,13.0,1676.87,257.98,1.46,28720.52,892.43,53.21999,1.44444,2.13767
4425,MARTIGNETTI COMPANIES,3294,Leaf Vodka Alaskian Glacial,174.0,2141.94,12.31,16.99,750,158.0,2225.42,1400.01,124.47,144929.24,83.48,3.7512,0.90805,1.03897
4425,MARTIGNETTI COMPANIES,18458,Tussock Jumper Chard,1.0,6.8,6.8,9.99,750,1.0,9.99,9.99,0.11,144929.24,3.19,31.93193,1.0,1.46912
4425,MARTIGNETTI COMPANIES,18458,Tussock Jumper Chard,1.0,6.8,6.8,9.99,750,1.0,9.99,9.99,0.11,144929.24,3.19,31.93193,1.0,1.46912
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,1.0,72.99,72.99,0.11,144929.24,25.9,35.48431,1.0,1.55001
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,1.0,72.99,72.99,0.11,144929.24,25.9,35.48431,1.0,1.55001
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,145.98,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,145.98,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,4.0,291.96,145.98,0.45,144929.24,244.87,83.87108,4.0,6.20004
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,3.0,218.97,145.98,0.33,144929.24,171.88,78.49477,3.0,4.65003
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,145.98,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,4.0,291.96,145.98,0.45,144929.24,244.87,83.87108,4.0,6.20004
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,72.99,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,145.98,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,1.0,72.99,72.99,0.11,144929.24,25.9,35.48431,1.0,1.55001
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,145.98,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,1.0,72.99,72.99,0.11,144929.24,25.9,35.48431,1.0,1.55001
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,4.0,291.96,145.98,0.45,144929.24,244.87,83.87108,4.0,6.20004
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,3.0,218.97,145.98,0.33,144929.24,171.88,78.49477,3.0,4.65003
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,145.98,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,4.0,291.96,145.98,0.45,144929.24,244.87,83.87108,4.0,6.20004
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,1.0,47.09,47.09,72.99,750,2.0,145.98,72.99,0.22,144929.24,98.89,67.74216,2.0,3.10002
4425,MARTIGNETTI COMPANIES,36907,Dom Tempier Bandol Rg,34.0,882.98,25.97,44.99,750,44.0,1759.56,559.86,4.93,144929.24,876.58,49.81814,1.29412,1.99275
4425,MARTIGNETTI COMPANIES,36907,Dom Tempier Bandol Rg,34.0,882.98,25.97,44.99,750,44.0,1759.56,559.86,4.93,144929.24,876.58,49.81814,1.29412,1.99275
7153,PINE STATE TRADING CO,23543,Guillermo Mndza Kosher Malbc,22.0,189.2,8.6,12.99,750,20.0,259.8,90.93,2.23,15884.82,70.6,27.17475,0.90909,1.37315
7153,PINE STATE TRADING CO,23543,Guillermo Mndza Kosher Malbc,22.0,189.2,8.6,12.99,750,20.0,259.8,90.93,2.23,15884.82,70.6,27.17475,0.90909,1.37315
8663,STAR INDUSTRIES INC.,2193,Donegal Irish Whiskey,148.0,2428.68,16.41,24.99,750,143.0,2572.57,1529.15,112.65,12.44,143.89,5.59324,0.96622,1.05925
9552,M S WALKER INC,20973,Lustau Pedro Ximenez San Emi,4.0,71.96,17.99,26.99,750,3.0,80.97,26.99,0.34,55551.82,9.01,11.12758,0.75,1.12521
9552,M S WALKER INC,20973,Lustau Pedro Ximenez San Emi,4.0,71.96,17.99,26.99,750,4.0,107.96,53.98,0.45,55551.82,36.0,33.34568,1.0,1.50028
10754,PERFECTA WINES,15688,Cheval Blanc St Emilion 08,12.0,3599.88,299.99,499.99,750,12.0,5399.88,1349.97,1.34,28720.52,1800.0,33.33407,1.0,1.50002
10754,PERFECTA WINES,15688,Cheval Blanc St Emilion 08,12.0,3599.88,299.99,499.99,750,12.0,5399.88,1349.97,1.34,28720.52,1800.0,33.33407,1.0,1.50002
10754,PERFECTA WINES,17384,20 Mile 09 Brdx Superior,13.0,316.42,24.34,51.99,750,14.0,524.86,112.47,1.57,28720.52,208.44,39.71345,1.07692,1.65874
10754,PERFECTA WINES,17384,20 Mile 09 Brdx Superior,13.0,316.42,24.34,51.99,750,13.0,487.37,74.98,1.46,28720.52,170.95,35.07602,1.0,1.54026
10754,PERFECTA WINES,23962,Enzo Boglietti Dolcetto Alba,12.0,151.92,12.66,18.99,750,17.0,356.83,125.94,1.9,28720.52,204.91,57.4251,1.41667,2.3488
10754,PERFECTA WINES,23962,Enzo Boglietti Dolcetto Alba,12.0,151.92,12.66,18.99,750,16.0,335.84,104.95,1.79,28720.52,183.92,54.76417,1.33333,2.21064
10754,PERFECTA WINES,23962,Enzo Boglietti Dolcetto Alba,12.0,151.92,12.66,18.99,750,8.0,163.92,142.93,0.88,28720.52,12.0,7.32064,0.66667,1.07899
12331,STELLAR IMPORTING CO LLC,26617,Brousko Dry Red,12.0,87.36,7.28,10.99,750,12.0,131.88,10.99,1.35,119.23,44.52,33.75796,1.0,1.50962
12331,STELLAR IMPORTING CO LLC,26617,Brousko Dry Red,12.0,87.36,7.28,10.99,750,12.0,131.88,10.99,1.35,119.23,44.52,33.75796,1.0,1.50962
12546,JIM BEAM BRANDS COMPANY,4043,Calico Jack Cherry Rum,12.0,145.68,12.14,16.99,1750,12.0,203.88,16.99,22.05,123880.97,58.2,28.5462,1.0,1.39951
12546,JIM BEAM BRANDS COMPANY,4043,Calico Jack Cherry Rum,12.0,145.68,12.14,16.99,1750,12.0,203.88,16.99,22.05,123880.97,58.2,28.5462,1.0,1.39951
17035,PERNOD RICARD USA,2660,Jameson Rarest Vintage Rsv,4.0,916.0,229.0,299.99,750,4.0,1199.96,1199.96,3.16,123780.22,283.96,23.66412,1.0,1.31
17035,PERNOD RICARD USA,2660,Jameson Rarest Vintage Rsv,4.0,916.0,229.0,299.99,750,5.0,1499.95,1499.95,3.95,123780.22,583.95,38.9313,1.25,1.6375
17035,PERNOD RICARD USA,2660,Jameson Rarest Vintage Rsv,4.0,916.0,229.0,299.99,750,4.0,1199.96,1199.96,3.16,123780.22,283.96,23.66412,1.0,1.31
17035,PERNOD RICARD USA,2660,Jameson Rarest Vintage Rsv,4.0,916.0,229.0,299.99,750,6.0,1799.94,1799.94,4.74,123780.22,883.94,49.10941,1.5,1.965
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,183.0,181.17,71.28,9.41,89286.27,13.41,7.40189,0.78541,1.07994
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,202.0,199.98,99.99,10.36,89286.27,32.22,16.11161,0.86695,1.19206
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,223.0,220.77,101.97,11.46,89286.27,53.01,24.01141,0.95708,1.31599
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,451.0,446.49,166.32,23.33,89286.27,278.73,62.42693,1.93562,2.66148
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,454.0,449.46,183.15,23.43,89286.27,281.7,62.67521,1.9485,2.67918
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,606.0,599.94,277.2,31.15,89286.27,432.18,72.0372,2.60086,3.57618
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,654.0,647.46,332.64,33.48,89286.27,479.7,74.08952,2.80687,3.85944
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,195.0,193.05,82.17,10.01,89286.27,25.29,13.10023,0.83691,1.15075
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,220.0,217.8,103.95,11.3,89286.27,50.04,22.97521,0.94421,1.29828
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,249.0,246.51,109.89,12.84,89286.27,78.75,31.94597,1.06867,1.46942
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,471.0,466.29,156.42,24.37,89286.27,298.53,64.02239,2.02146,2.77951
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,466.0,461.34,222.75,23.98,89286.27,293.58,63.63636,2.0,2.75
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,570.0,564.3,257.4,29.29,89286.27,396.54,70.27113,2.44635,3.36373
1128,BROWN-FORMAN CORP,7195,Herradura Reposado Barrel 11,12.0,418.08,34.84,45.99,750,11.0,505.89,45.99,8.66,68601.68,87.81,17.35753,0.91667,1.21003
1128,BROWN-FORMAN CORP,7195,Herradura Reposado Barrel 11,12.0,418.08,34.84,45.99,750,11.0,505.89,45.99,8.66,68601.68,87.81,17.35753,0.91667,1.21003
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,249.98,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,124.99,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,249.98,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,4.0,499.96,249.98,0.44,1048.97,338.68,67.74142,2.0,3.09995
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,249.98,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,3.0,374.97,124.99,0.34,1048.97,213.69,56.98856,1.5,2.32496
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,4.0,499.96,374.97,0.44,1048.97,338.68,67.74142,2.0,3.09995
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,249.98,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,124.99,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,249.98,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,4.0,499.96,249.98,0.44,1048.97,338.68,67.74142,2.0,3.09995
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,2.0,249.98,249.98,0.22,1048.97,88.7,35.48284,1.0,1.54998
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,3.0,374.97,124.99,0.34,1048.97,213.69,56.98856,1.5,2.32496
1601,VRANKEN AMERICA,25279,Pommery Cuvee Louise 2002,2.0,161.28,80.64,124.99,750,4.0,499.96,374.97,0.44,1048.97,338.68,67.74142,2.0,3.09995
3960,DIAGEO NORTH AMERICA INC,2392,Crown Royal 75th Anniversary,20.0,1014.4,50.72,69.99,750,16.0,1119.84,699.9,12.6,257032.07,105.44,9.41563,0.8,1.10394
3960,DIAGEO NORTH AMERICA INC,2392,Crown Royal 75th Anniversary,20.0,1014.4,50.72,69.99,750,27.0,1889.73,1119.84,21.27,257032.07,875.33,46.32037,1.35,1.8629
3960,DIAGEO NORTH AMERICA INC,2392,Crown Royal 75th Anniversary,20.0,1014.4,50.72,69.99,750,17.0,1189.83,769.89,13.39,257032.07,175.43,14.74412,0.85,1.17294
3960,DIAGEO NORTH AMERICA INC,2392,Crown Royal 75th Anniversary,20.0,1014.4,50.72,69.99,750,19.0,1329.81,769.89,14.97,257032.07,315.41,23.71843,0.95,1.31093
3960,DIAGEO NORTH AMERICA INC,2392,Crown Royal 75th Anniversary,20.0,1014.4,50.72,69.99,750,23.0,1609.77,1049.85,18.12,257032.07,595.37,36.98479,1.15,1.58692
4425,MARTIGNETTI COMPANIES,11187,Phillips Rapture Cab Svgn,26.0,979.16,37.66,56.99,750,22.0,1253.78,284.95,2.46,144929.24,274.62,21.90336,0.84615,1.28046
4425,MARTIGNETTI COMPANIES,11187,Phillips Rapture Cab Svgn,26.0,979.16,37.66,56.99,750,21.0,1196.79,227.96,2.35,144929.24,217.63,18.18448,0.80769,1.22226
4425,MARTIGNETTI COMPANIES,11187,Phillips Rapture Cab Svgn,26.0,979.16,37.66,56.99,750,21.0,1162.79,496.91,2.35,144929.24,183.63,15.79219,0.80769,1.18754
4425,MARTIGNETTI COMPANIES,18579,Primo Amore Rsl,12.0,91.92,7.66,11.49,750,12.0,137.88,11.49,1.35,144929.24,45.96,33.33333,1.0,1.5
4425,MARTIGNETTI COMPANIES,18579,Primo Amore Rsl,12.0,91.92,7.66,11.49,750,12.0,137.88,11.49,1.35,144929.24,45.96,33.33333,1.0,1.5
4425,MARTIGNETTI COMPANIES,22107,Emmolo Merlot,27.0,1079.73,39.99,57.99,750,27.0,1565.73,173.97,3.03,144929.24,486.0,31.03983,1.0,1.45011
4425,MARTIGNETTI COMPANIES,22107,Emmolo Merlot,27.0,1079.73,39.99,57.99,750,26.0,1507.74,115.98,2.92,144929.24,428.01,28.38752,0.96296,1.3964
4425,MARTIGNETTI COMPANIES,22781,Rage Znfdl,11.0,415.14,37.74,56.99,750,10.0,569.9,56.99,1.12,144929.24,154.76,27.15564,0.90909,1.37279
4425,MARTIGNETTI COMPANIES,22781,Rage Znfdl,11.0,415.14,37.74,56.99,750,10.0,569.9,56.99,1.12,144929.24,154.76,27.15564,0.90909,1.37279
4425,MARTIGNETTI COMPANIES,23105,DeLille Cellars D2,66.0,1859.88,28.18,41.99,750,49.0,2057.51,125.97,5.51,144929.24,197.63,9.6053,0.74242,1.10626
4425,MARTIGNETTI COMPANIES,23105,DeLille Cellars D2,66.0,1859.88,28.18,41.99,750,49.0,2057.51,125.97,5.51,144929.24,197.63,9.6053,0.74242,1.10626
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,2.0,69.98,69.98,0.22,9139.38,46.96,67.10489,2.0,3.03997
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,4.0,139.96,104.97,0.44,9139.38,116.94,83.55244,4.0,6.07993
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,2.0,69.98,69.98,0.22,9139.38,46.96,67.10489,2.0,3.03997
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,1.0,34.99,34.99,0.11,9139.38,11.97,34.20977,1.0,1.51998
4692,KOBRAND CORPORATION,22533,Jadot Marsannay Clos Roy 12,1.0,23.02,23.02,34.99,750,4.0,139.96,104.97,0.44,9139.38,116.94,83.55244,4.0,6.07993
7153,PINE STATE TRADING CO,22567,Our Daily Red Cab Svgn,46.0,147.66,3.21,4.79,750,12.0,155.88,12.99,1.35,15884.82,8.22,5.27329,0.26087,1.05567
7153,PINE STATE TRADING CO,22567,Our Daily Red Cab Svgn,46.0,147.66,3.21,4.79,750,12.0,155.88,12.99,1.35,15884.82,8.22,5.27329,0.26087,1.05567
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,6.0,233.94,116.97,0.67,15884.82,208.79,89.24938,6.0,9.30179
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,9.0,350.91,311.92,0.99,15884.82,325.76,92.83292,9.0,13.95268
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,2.0,77.98,77.98,0.22,15884.82,52.83,67.74814,2.0,3.1006
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,9.0,350.91,311.92,0.99,15884.82,325.76,92.83292,9.0,13.95268
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,1.0,38.99,38.99,0.11,15884.82,13.84,35.49628,1.0,1.5503
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,3.0,116.97,116.97,0.33,15884.82,91.82,78.49876,3.0,4.65089
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,7.0,272.93,233.94,0.77,15884.82,247.78,90.78518,7.0,10.85209
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,4.0,155.96,155.96,0.44,15884.82,130.81,83.87407,4.0,6.20119
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,4.0,155.96,155.96,0.44,15884.82,130.81,83.87407,4.0,6.20119
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,8.0,311.92,272.93,0.88,15884.82,286.77,91.93704,8.0,12.40239
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,15.0,584.85,545.86,1.65,15884.82,559.7,95.69975,15.0,23.25447
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,12.0,467.88,428.89,1.32,15884.82,442.73,94.62469,12.0,18.60358
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,21.0,818.79,467.88,2.34,15884.82,793.64,96.92839,21.0,32.55626
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,8.0,311.92,194.95,0.89,15884.82,286.77,91.93704,8.0,12.40239
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,7.0,272.93,233.94,0.77,15884.82,247.78,90.78518,7.0,10.85209
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,3.0,116.97,116.97,0.33,15884.82,91.82,78.49876,3.0,4.65089
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,5.0,194.95,194.95,0.55,15884.82,169.8,87.09926,5.0,7.75149
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,4.0,155.96,116.97,0.44,15884.82,130.81,83.87407,4.0,6.20119
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,3.0,116.97,116.97,0.33,15884.82,91.82,78.49876,3.0,4.65089
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,8.0,311.92,272.93,0.88,15884.82,286.77,91.93704,8.0,12.40239
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,3.0,116.97,116.97,0.33,15884.82,91.82,78.49876,3.0,4.65089
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,9.0,350.91,311.92,0.99,15884.82,325.76,92.83292,9.0,13.95268
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,9.0,350.91,311.92,0.99,15884.82,325.76,92.83292,9.0,13.95268
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,9.0,350.91,350.91,0.99,15884.82,325.76,92.83292,9.0,13.95268
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,12.0,467.88,428.89,1.32,15884.82,442.73,94.62469,12.0,18.60358
7153,PINE STATE TRADING CO,23948,Ch La Croix Lartigue 09,1.0,25.15,25.15,38.99,750,21.0,818.79,467.88,2.34,15884.82,793.64,96.92839,21.0,32.55626
8892,TRINCHERO FAMILY ESTATES,18232,Shatter Grenache VdP Catalan,106.0,1169.18,11.03,19.99,750,94.0,1879.06,279.86,10.54,11595.97,709.88,37.77846,0.88679,1.60716
8892,TRINCHERO FAMILY ESTATES,18232,Shatter Grenache VdP Catalan,106.0,1169.18,11.03,19.99,750,94.0,1879.06,279.86,10.54,11595.97,709.88,37.77846,0.88679,1.60716
9552,M S WALKER INC,543,Berkshire Mtn Ethereal Gin,11.0,249.92,22.72,31.99,750,8.0,264.92,264.92,6.32,55551.82,15.0,5.66209,0.72727,1.06002
9552,M S WALKER INC,543,Berkshire Mtn Ethereal Gin,11.0,249.92,22.72,31.99,750,9.0,269.91,149.95,7.1,55551.82,19.99,7.40617,0.81818,1.07999
9552,M S WALKER INC,543,Berkshire Mtn Ethereal Gin,11.0,249.92,22.72,31.99,750,9.0,269.91,149.95,7.1,55551.82,19.99,7.40617,0.81818,1.07999
9552,M S WALKER INC,21089,Quivira Znfdl Dry Creek Vly,12.0,89.52,7.46,17.99,750,12.0,137.88,11.49,1.35,55551.82,48.36,35.07398,1.0,1.54021
9552,M S WALKER INC,21089,Quivira Znfdl Dry Creek Vly,12.0,89.52,7.46,17.99,750,12.0,137.88,11.49,1.35,55551.82,48.36,35.07398,1.0,1.54021
9552,M S WALKER INC,22830,Beaux Freres Pnt Nr Will Vly,36.0,1430.28,39.73,59.99,750,26.0,1559.74,899.85,2.89,55551.82,129.46,8.3001,0.72222,1.09051
