VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,PurchasePrice,ActualPrice,Volume,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
10754,PERFECTA WINES,20508,Calaches Lanessan Haut-Medoc,18.0,232.56,12.92,18.99,750,18.0,341.82,18.99,2.02,28720.52,109.26,31.96419,1.0,1.46981
10754,PERFECTA WINES,20508,Calaches Lanessan Haut-Medoc,18.0,232.56,12.92,18.99,750,15.0,284.85,75.96,1.68,28720.52,52.29,18.35703,0.83333,1.22485
10754,PERFECTA WINES,21520,Merriam Cuvee Pnt Nr RRV,12.0,193.44,16.12,24.99,750,12.0,299.88,24.99,1.35,28720.52,106.44,35.4942,1.0,1.55025
10754,PERFECTA WINES,21520,Merriam Cuvee Pnt Nr RRV,12.0,193.44,16.12,24.99,750,11.0,274.89,24.99,1.24,28720.52,81.45,29.63003,0.91667,1.42106
10754,PERFECTA WINES,21520,Merriam Cuvee Pnt Nr RRV,12.0,193.44,16.12,24.99,750,12.0,299.88,24.99,1.35,28720.52,106.44,35.4942,1.0,1.55025
10754,PERFECTA WINES,21520,Merriam Cuvee Pnt Nr RRV,12.0,193.44,16.12,24.99,750,11.0,274.89,24.99,1.24,28720.52,81.45,29.63003,0.91667,1.42106
10754,PERFECTA WINES,23745,Ch Angelus 12 St Emilion,6.0,1628.52,271.42,398.99,750,6.0,2393.94,797.98,0.68,28720.52,765.42,31.97323,1.0,1.47001
10754,PERFECTA WINES,23745,Ch Angelus 12 St Emilion,6.0,1628.52,271.42,398.99,750,6.0,2393.94,398.99,0.68,28720.52,765.42,31.97323,1.0,1.47001
10754,PERFECTA WINES,23745,Ch Angelus 12 St Emilion,6.0,1628.52,271.42,398.99,750,6.0,2393.94,797.98,0.68,28720.52,765.42,31.97323,1.0,1.47001
10754,PERFECTA WINES,23745,Ch Angelus 12 St Emilion,6.0,1628.52,271.42,398.99,750,6.0,2393.94,398.99,0.68,28720.52,765.42,31.97323,1.0,1.47001
